Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2019,1,0,0,38.08,543.0
2019,1,0,1,221477642.35026827,627019915.8887656
2019,1,0,2,231107008.920311,581242363.7590601
2019,1,20,1,78825126.86999938,249146111.26994875
2019,1,20,2,130227935.2101297,399709127.7894688
2019,1,30,1,112214992.94004,357548959.45984614
2019,1,30,2,184364524.54015228,595468916.1390613
2019,1,40,1,167069116.70011565,529783286.159564
2019,1,40,2,228348066.15022096,677823166.6787198
2019,1,50,1,224539788.68020964,820705771.668084
2019,1,50,2,278817375.2902984,906650088.4174464
2019,1,60,1,235766705.24025166,1345372290.586402
2019,1,60,2,280689643.7703212,1048754927.2164031
2019,1,70,1,191822655.89022133,1000537700.1165284
2019,1,70,2,239672940.0204043,1003615936.0358663
2019,1,80,0,183.48000000000002,478.37
2019,1,80,1,125742806.58004513,759748343.9282273
2019,1,80,2,233042938.22032586,1200583177.6053889
2019,1,99,0,65301.89,770330147.1900007
2019,1,99,1,313342.0399999988,50064717.37999994
2019,1,99,2,338667.62999999715,48238909.59999996
2019,2,0,0,12.85,81.23
2019,2,0,1,204654146.79026508,573950305.989372
2019,2,0,2,214744317.39030457,536356037.9994568
2019,2,20,1,74442725.32998648,226948764.97996828
2019,2,20,2,123924617.57016179,367430794.6895504
2019,2,30,1,105812638.91005574,327420436.4398372
2019,2,30,2,176056101.63019285,547494432.9492254
2019,2,40,1,158694644.26012933,481621343.0597278
2019,2,40,2,223109170.05023256,630528328.948957
2019,2,50,1,214642053.34019583,744059805.0086812
2019,2,50,2,273063053.29027134,838991464.2980483
2019,2,60,1,221045825.37023425,1028634091.2479446
2019,2,60,2,268959094.9403174,946668201.1875894
2019,2,70,1,178082276.6701907,890382685.0776852
2019,2,70,2,226590145.67033234,902507208.4471962
2019,2,80,0,942.1000000000001,8905.32
2019,2,80,1,115854738.16005272,676503554.4490006
2019,2,80,2,214329377.33025518,1070714343.2874658
2019,2,99,0,5688.86,3815452.9699999997
2019,2,99,1,307669.6199999979,2341701.8000000715
2019,2,99,2,336238.6499999979,1805407.6600000723
2019,3,0,0,1.4699999999999998,1173.67
2019,3,0,1,222139652.58030248,609482944.8088729
2019,3,0,2,235814516.3503547,570565403.3190424
2019,3,20,1,82634788.67999159,247914035.6099563
2019,3,20,2,136370354.80011302,399565098.77934605
2019,3,30,0,2141.95,2141.95
