FLX_ANN_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
201901.0,1.0,80.0,32.0,8208842.759999857,49766152.93000013,41557310.16999867
201907.0,1.0,70.0,93.0,18536167.720000144,98092000.08000427,79555832.3599974
201905.0,2.0,70.0,52.0,11411331.439999998,40664581.489999786,29253250.049997542
201909.0,1.0,0.0,27.0,6035156.039999914,13853586.679999324,7818430.640000069
201908.0,1.0,30.0,52.0,3008648.2800000366,10333355.509999678,7324707.230000093
201906.0,2.0,70.0,44.0,19619994.870000377,69635724.02000427,50015729.14999763
201910.0,1.0,40.0,24.0,5075759.91000002,14995799.749999277,9920039.839999998
201904.0,2.0,70.0,5.0,4412683.469999974,26896629.579999167,22483946.10999986
201910.0,2.0,0.0,53.0,9456918.469999911,22418417.74999879,12961499.28000006
201907.0,2.0,80.0,5.0,4490791.86999996,34531086.84999947,30040294.979999796
201904.0,1.0,30.0,5.0,1672104.8100000017,6915456.420000011,5243351.610000005
201901.0,1.0,50.0,44.0,19509885.259999834,63553919.02000113,44044033.75999831
201907.0,1.0,50.0,75.0,17626505.019999932,59214787.06999987,41588282.049996905
201907.0,2.0,80.0,27.0,9831591.8899999,43875868.219999604,34044276.32999772
201901.0,1.0,40.0,52.0,7067073.799999958,21570587.319998987,14503513.5199998
201901.0,2.0,20.0,11.0,25241828.449999772,65085850.310001716,39844021.859997936
201907.0,1.0,60.0,5.0,4930033.0799999535,33791982.829998985,28861949.749999817
201906.0,2.0,80.0,53.0,10608255.00999987,52081345.71000009,41473090.69999813
201903.0,1.0,0.0,32.0,15968812.549999965,40043739.37999874,24074926.82999938
201909.0,1.0,70.0,76.0,15458206.610000001,86787981.2000036,71329774.58999747
201912.0,1.0,40.0,52.0,7932246.559999922,22004462.649998922,14072216.089999814
201912.0,2.0,60.0,75.0,26992886.16999985,90195007.42000586,63202121.2499971
201903.0,2.0,30.0,5.0,3285463.109999979,13153374.859999862,9867911.749999955
201911.0,2.0,70.0,24.0,8340125.219999789,31843459.489996977,23503334.26999815
201901.0,1.0,20.0,75.0,4845183.499999952,15074416.349999344,10229232.850000063
201901.0,1.0,40.0,93.0,11836528.46999998,38880041.78999868,27043513.319999043
201905.0,2.0,80.0,93.0,26479008.900000412,150510650.45001426,124031641.54999775
201904.0,1.0,70.0,27.0,8178859.119999749,39670241.35999924,31491382.2399973
201909.0,2.0,30.0,93.0,11428122.659999847,38872825.58999846,27444702.92999864
201903.0,1.0,30.0,93.0,7992188.109999878,25640440.209998816,17648252.099999648
201905.0,2.0,0.0,44.0,16291805.180000028,36701003.69999854,20409198.519999426
201909.0,1.0,0.0,5.0,3738474.039999967,12067140.969999844,8328666.930000013
201912.0,2.0,20.0,75.0,8333675.9399997275,24707326.499998335,16373650.56000008
201907.0,2.0,30.0,44.0,13380877.129999902,40775395.75999862,27394518.629997946
201905.0,1.0,20.0,27.0,2057397.3100000194,6005080.369999951,3947683.060000064
201902.0,1.0,60.0,27.0,8806299.529999861,40739063.40999919,31932763.879997954
201910.0,1.0,20.0,52.0,3135254.250000016,9775072.639999654,6639818.390000044
201906.0,1.0,70.0,11.0,26489769.37000042,116983858.94000632,90494089.56999613
201911.0,1.0,70.0,5.0,3236584.0699999845,23656735.259999245,20420151.189999804
201912.0,2.0,60.0,11.0,48939483.74999754,142851808.23001182,93912324.47999609
201907.0,2.0,30.0,11.0,45711152.64999935,117310310.170007,71599157.5199979
201907.0,1.0,50.0,11.0,44797475.759999216,126999495.31000707,82202019.54999769
201905.0,2.0,60.0,28.0,12002660.789999953,43538472.139998995,31535811.34999816
201906.0,2.0,40.0,24.0,6005054.309999919,17519003.389999107,11513949.080000022
201902.0,2.0,60.0,44.0,22562512.869999863,72509182.3500029,49946669.479997955
201907.0,2.0,20.0,52.0,5112352.189999937,15992332.339999259,10879980.149999978
201906.0,1.0,80.0,52.0,5716070.499999927,29256872.969997816,23540802.46999881
201909.0,2.0,50.0,27.0,8733091.419999862,26513993.109998025,17780901.689999335
201901.0,2.0,60.0,93.0,22527748.98999994,86859801.9500042,64332052.95999732
201908.0,1.0,20.0,24.0,1420088.4100000148,4414119.2600000575,2994030.850000041
201911.0,1.0,40.0,44.0,11751695.229999952,34514512.97999814,22762817.749999113
201904.0,2.0,80.0,32.0,17958242.020000163,90555866.93000346,72597624.90999769
201909.0,1.0,80.0,76.0,11596935.630000051,78485548.52000351,66888612.88999733
201901.0,1.0,70.0,28.0,7763020.97999986,40296552.60999859,32533531.629998423
201902.0,1.0,50.0,53.0,7702866.949999872,26629541.96999842,18926675.019999113
201905.0,2.0,30.0,52.0,7217462.239999883,23256185.969998665,16038723.729999723
201903.0,2.0,20.0,44.0,9382701.929999713,27216113.539997682,17833411.609999456
201908.0,2.0,70.0,84.0,17841476.330000192,76168114.0000056,58326637.66999685
201907.0,2.0,70.0,76.0,23402763.540000338,94609708.37000567,71206944.82999603
201902.0,1.0,80.0,76.0,11773827.929999914,76359344.82000199,64585516.88999797
201905.0,2.0,50.0,11.0,51029215.97999805,134801646.01000774,83772430.02999853
201907.0,1.0,70.0,11.0,27690703.680000413,121030999.90000543,93340296.21999454
201911.0,2.0,50.0,27.0,9104571.309999838,27327509.89999819,18222938.58999941
201906.0,1.0,40.0,5.0,2675793.5399999903,11106494.329999981,8430700.790000033
201905.0,1.0,80.0,5.0,2286859.5399999893,18373058.229999688,16086198.689999862
201909.0,2.0,80.0,84.0,23059708.84999977,110328751.0600056,87269042.2099986
201905.0,1.0,80.0,11.0,17764655.88000011,87695255.45000516,69930599.5699973
201910.0,2.0,20.0,93.0,9229117.969999818,29476298.98999783,20247181.01999948
201912.0,2.0,30.0,32.0,12839274.689999782,41756634.62999905,28917359.9399983
201904.0,2.0,50.0,5.0,6394716.199999966,25103756.689999387,18709040.489999905
201903.0,2.0,50.0,5.0,6035438.109999985,23470439.159999356,17435001.049999885
201908.0,2.0,70.0,76.0,16364116.760000117,79034806.76000437,62670689.999996126
201905.0,2.0,70.0,27.0,9645216.639999874,36849366.90999752,27204150.269997563
201905.0,2.0,80.0,52.0,10883306.509999955,45581348.910000086,34698042.399998024
201901.0,1.0,60.0,84.0,24653285.489999473,113628064.37000506,88974778.87999973
201907.0,1.0,20.0,53.0,2599046.0700000254,7756190.929999882,5157144.860000058
201903.0,1.0,70.0,27.0,7501090.099999816,34619417.479997545,27118327.379998334
201906.0,2.0,60.0,75.0,23754349.09000008,81176419.02000472,57422069.929996766
201912.0,1.0,50.0,93.0,19142707.62000006,67638729.56000148,48496021.9399973
201906.0,1.0,0.0,75.0,12544368.640000096,32511448.539997604,19967079.899999432
201906.0,2.0,30.0,5.0,3092724.099999985,12911613.389999863,9818889.289999964
201905.0,2.0,80.0,53.0,10647308.329999916,52693584.7400009,42046276.409997694
201906.0,1.0,40.0,27.0,4743546.959999996,14214280.579999344,9470733.620000029
201909.0,2.0,50.0,52.0,10616091.290000139,31621788.729997844,21005697.43999882
201908.0,2.0,40.0,84.0,15600726.330000063,45205667.22999882,29604940.899998125
201905.0,2.0,30.0,76.0,11430755.739999874,39910023.41999924,28479267.679998253
201902.0,1.0,60.0,5.0,4002938.8099999744,28702671.359999366,24699732.549999893
201906.0,2.0,20.0,84.0,13398425.059999827,38629679.299997695,25231254.239998292
201904.0,1.0,20.0,27.0,2248206.5100000063,6739948.709999859,4491742.200000094
201908.0,1.0,70.0,11.0,15437979.210000325,88734498.98000562,73296519.76999408
201908.0,1.0,50.0,76.0,12651093.339999914,52639787.69999956,39988694.359996974
201907.0,2.0,0.0,11.0,40046095.289999425,93313949.17000346,53267853.87999601
201909.0,2.0,40.0,27.0,6454999.909999933,17995483.219998967,11540483.309999803
201907.0,1.0,40.0,24.0,5042715.529999997,15121778.279999228,10079062.74999998
201901.0,2.0,30.0,5.0,3083383.779999979,12595744.059999844,9512360.279999962
201903.0,1.0,20.0,75.0,4632945.760000048,14305389.559999375,9672443.80000007
201907.0,1.0,60.0,84.0,27628449.369999856,116437813.0300064,88809363.65999915
201906.0,1.0,20.0,53.0,2231246.590000027,6793116.5499998825,4561869.960000076
201902.0,1.0,40.0,75.0,11065823.309999928,33616228.92999761,22550405.61999901
201908.0,1.0,80.0,11.0,11557394.25,71973163.79000366,60415769.53999652
