SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,0.0,80.0,11.0,183.48000000000002,478.37,294.89
2019.0,1.0,0.0,99.0,24.0,2.1599999999999997,6.33,4.17
2019.0,1.0,1.0,0.0,5.0,6420756.019999955,20800764.24999905,14380008.230000053
2019.0,1.0,1.0,0.0,11.0,45396993.97999439,124225328.49002464,78828334.50999297
2019.0,1.0,1.0,0.0,24.0,7426970.580000225,20376826.59999679,12949856.019999411
2019.0,1.0,1.0,0.0,27.0,7907264.220000173,20405850.25999754,12498586.039999468
2019.0,1.0,1.0,0.0,28.0,9623260.770000381,31630847.65999853,22007586.88999899
2019.0,1.0,1.0,0.0,32.0,20453974.85999915,55734186.240001485,35280211.37999721
2019.0,1.0,1.0,0.0,44.0,19668894.33999966,51602253.55000223,31933359.209997505
2019.0,1.0,1.0,0.0,52.0,11532396.000000319,30505623.48999872,18973227.48999901
2019.0,1.0,1.0,0.0,53.0,9257122.750000251,25565583.929998662,16308461.179999433
2019.0,1.0,1.0,0.0,75.0,17443218.830000613,46360485.95000069,28917267.11999721
2019.0,1.0,1.0,0.0,76.0,19262541.02999983,58167752.320002444,38905211.2899954
2019.0,1.0,1.0,0.0,84.0,27275460.5899978,76140956.4300085,48865495.83999357
2019.0,1.0,1.0,0.0,93.0,18310718.740000244,55441177.54000188,37130458.79999613
2019.0,1.0,1.0,20.0,5.0,1785405.8399999787,6600801.20999975,4815395.369999994
2019.0,1.0,1.0,20.0,11.0,17337215.46000025,47494419.04000014,30157203.579996806
2019.0,1.0,1.0,20.0,24.0,2414245.089999998,7491400.29999929,5077155.209999957
2019.0,1.0,1.0,20.0,27.0,2789245.72999995,8507498.079999056,5718252.349999976
2019.0,1.0,1.0,20.0,28.0,3054127.759999942,10118641.099998737,7064513.339999835
2019.0,1.0,1.0,20.0,32.0,6347602.4200000875,21021779.349997543,14674176.929999128
2019.0,1.0,1.0,20.0,44.0,6897755.4599999925,20694969.289997213,13797213.829999045
2019.0,1.0,1.0,20.0,52.0,3738192.899999917,11609763.6799979,7871570.77999977
2019.0,1.0,1.0,20.0,53.0,3031246.5999999456,9254093.369998971,6222846.769999877
