SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,0.0,80.0,11.0,183.48000000000002,478.37,294.89
2019.0,1.0,0.0,99.0,24.0,2.1599999999999997,6.33,4.17
2019.0,1.0,1.0,0.0,5.0,6438102.909999953,20850315.629999056,14412212.72000007
2019.0,1.0,1.0,0.0,11.0,45463788.579994604,124416438.37002483,78952649.78999291
2019.0,1.0,1.0,0.0,24.0,7438699.420000218,20410418.15999677,12971718.739999382
2019.0,1.0,1.0,0.0,27.0,7919584.490000158,20441121.88999751,12521537.399999466
2019.0,1.0,1.0,0.0,28.0,9639097.660000382,31676144.239998512,22037046.579998896
2019.0,1.0,1.0,0.0,32.0,20486142.379999172,55826261.85000156,35340119.469997056
2019.0,1.0,1.0,0.0,44.0,19694381.16999967,51675130.26000228,31980749.089997385
2019.0,1.0,1.0,0.0,52.0,11550769.260000348,30558241.039998706,19007471.77999894
2019.0,1.0,1.0,0.0,53.0,9271204.580000246,25605986.88999865,16334782.309999397
2019.0,1.0,1.0,0.0,75.0,17467361.48000066,46429633.450000785,28962271.969997082
2019.0,1.0,1.0,0.0,76.0,19288287.529999908,58241654.91000253,38953367.37999516
2019.0,1.0,1.0,0.0,84.0,27314269.329997938,76252100.19000852,48937830.859993294
2019.0,1.0,1.0,0.0,93.0,18337063.750000224,55516662.60000191,37179598.849995926
2019.0,1.0,1.0,20.0,5.0,1785461.7599999788,6600960.93999975,4815499.179999993
2019.0,1.0,1.0,20.0,11.0,17337563.890000258,47495404.25000014,30157840.359996818
2019.0,1.0,1.0,20.0,24.0,2414307.319999997,7491577.90999929,5077270.589999958
2019.0,1.0,1.0,20.0,27.0,2789309.56999995,8507680.289999055,5718370.719999976
2019.0,1.0,1.0,20.0,28.0,3054232.0599999414,10118938.779998736,7064706.719999836
2019.0,1.0,1.0,20.0,32.0,6347873.11000009,21022580.69999754,14674707.589999132
2019.0,1.0,1.0,20.0,44.0,6897964.499999993,20695652.21999721,13797687.71999905
2019.0,1.0,1.0,20.0,52.0,3738287.3399999174,11610033.219997901,7871745.879999771
2019.0,1.0,1.0,20.0,53.0,3031322.2699999455,9254309.33999897,6222987.069999876
